environment_id,environment_sha256,initial_scene_path,initial_scene_sha256,legacy_cell_id,legacy_layout_id,numbering_basis,paired_environment_id,source_family,source_number,tool_mechanism
001,5a3ade1322b9ede00bcecd17a0fd82b3038d8f3067b30503973d8f0d03d0c0c3,initial_scene.png,4b207b4bed3fdd0a98db66fa7033a63a6a6cf731987a6c96d458c322a2d911bc,BackUp_2_downward,BackUp_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",002,BackUp,2,downward
002,5a3ade1322b9ede00bcecd17a0fd82b3038d8f3067b30503973d8f0d03d0c0c3,initial_scene.png,4b207b4bed3fdd0a98db66fa7033a63a6a6cf731987a6c96d458c322a2d911bc,BackUp_2_upward,BackUp_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",001,BackUp,2,upward
003,d422df64079b95caf0334f9d47284eb14bfde084725f59a8e1ec867be4095c11,initial_scene.png,8a22280b6c002c23d1fbe6aa0aa74e2d168c9dcdb88181e41b01c299fa4fa915,BackUp_3_downward,BackUp_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",004,BackUp,3,downward
004,d422df64079b95caf0334f9d47284eb14bfde084725f59a8e1ec867be4095c11,initial_scene.png,8a22280b6c002c23d1fbe6aa0aa74e2d168c9dcdb88181e41b01c299fa4fa915,BackUp_3_upward,BackUp_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",003,BackUp,3,upward
005,b287bcd4bc433a8ad47bfc447ac471515dd9df3f065f7fdae21395272aea1a9f,initial_scene.png,02e7f7e48fe845d73d47f4e5b1e76209b8253e7746cbf100147912c25abfa0b2,BackUp_4_downward,BackUp_4,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",006,BackUp,4,downward
006,b287bcd4bc433a8ad47bfc447ac471515dd9df3f065f7fdae21395272aea1a9f,initial_scene.png,02e7f7e48fe845d73d47f4e5b1e76209b8253e7746cbf100147912c25abfa0b2,BackUp_4_upward,BackUp_4,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",005,BackUp,4,upward
007,842486a4fc21a2ddfd3eff0aa2f63d30c3935c015393dcd4fee0df6be76bb97a,initial_scene.png,6ca942be317770f2f4c0e4e830e2099a268b0d9d440d363b39f63bdb8f024836,BackUp_5_downward,BackUp_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",008,BackUp,5,downward
008,842486a4fc21a2ddfd3eff0aa2f63d30c3935c015393dcd4fee0df6be76bb97a,initial_scene.png,6ca942be317770f2f4c0e4e830e2099a268b0d9d440d363b39f63bdb8f024836,BackUp_5_upward,BackUp_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",007,BackUp,5,upward
009,c71f3e1db39759632816d328b3a9221ea0dff8eba3cfa423fa34b35f5f2645f2,initial_scene.png,bb19671b1cb2fe556ba7b28fc00d114de2c68adf8f222d41d7426b1bebe5c9fc,BackUp_6_downward,BackUp_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",010,BackUp,6,downward
010,c71f3e1db39759632816d328b3a9221ea0dff8eba3cfa423fa34b35f5f2645f2,initial_scene.png,bb19671b1cb2fe556ba7b28fc00d114de2c68adf8f222d41d7426b1bebe5c9fc,BackUp_6_upward,BackUp_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",009,BackUp,6,upward
011,851f8b2a493044d9d9fc7b03adec011aeefd8d6ec99a671e89e49f0a8e1c04de,initial_scene.png,712a3c8ee1a723ff62c977e01d22359ea6943fa89dde914593b44aa533b81be7,BackUp_7_downward,BackUp_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",012,BackUp,7,downward
012,851f8b2a493044d9d9fc7b03adec011aeefd8d6ec99a671e89e49f0a8e1c04de,initial_scene.png,712a3c8ee1a723ff62c977e01d22359ea6943fa89dde914593b44aa533b81be7,BackUp_7_upward,BackUp_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",011,BackUp,7,upward
013,b670e8be2568f88bb9b98b69a8e26eb1451d2400485fd38352480bff00e46bb1,initial_scene.png,6c4ccd6af89244a27fd6247c3816d78f45a8e682430d2e0dd59a5b378b479f59,BackUp_8_downward,BackUp_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",014,BackUp,8,downward
014,b670e8be2568f88bb9b98b69a8e26eb1451d2400485fd38352480bff00e46bb1,initial_scene.png,6c4ccd6af89244a27fd6247c3816d78f45a8e682430d2e0dd59a5b378b479f59,BackUp_8_upward,BackUp_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",013,BackUp,8,upward
015,d6eb622264664db5311f955607b82b89fb489f269414f09b284ce7d53f932b7d,initial_scene.png,cf76c8543caa6e65bbf93fb1f2e298a6847f414515a0e89c48d1eae0a17be898,BackUp_9_downward,BackUp_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",016,BackUp,9,downward
016,d6eb622264664db5311f955607b82b89fb489f269414f09b284ce7d53f932b7d,initial_scene.png,cf76c8543caa6e65bbf93fb1f2e298a6847f414515a0e89c48d1eae0a17be898,BackUp_9_upward,BackUp_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",015,BackUp,9,upward
017,1186d073f459044bec5a8363f322f4c67f59051cb5961460a0d34879fa652aa4,initial_scene.png,dcf68a5122b24ff001f69503d52e3ff04f20e0597dc631d4331a3b4440ebd5cf,BackUp_10_downward,BackUp_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",018,BackUp,10,downward
018,1186d073f459044bec5a8363f322f4c67f59051cb5961460a0d34879fa652aa4,initial_scene.png,dcf68a5122b24ff001f69503d52e3ff04f20e0597dc631d4331a3b4440ebd5cf,BackUp_10_upward,BackUp_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",017,BackUp,10,upward
019,94df526130231ed44292698104c404501a414d2f02538a593a78b4ccb230a3dd,initial_scene.png,d8b56d2c0bd3efdd661e15ec81c868e7c31982fbca4a5bbff99a372fea7d7d63,Balance_1_downward,Balance_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",020,Balance,1,downward
020,94df526130231ed44292698104c404501a414d2f02538a593a78b4ccb230a3dd,initial_scene.png,d8b56d2c0bd3efdd661e15ec81c868e7c31982fbca4a5bbff99a372fea7d7d63,Balance_1_upward,Balance_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",019,Balance,1,upward
021,5d528f1354f2104624aca7a5542d2d9f715f387476c0cf0b9f1bb87212a7667c,initial_scene.png,67019a1f1666ad308f08c52c94cdf9e7e4803aed1f097752ec684bd2f3d2e1c9,Balance_2_downward,Balance_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",022,Balance,2,downward
022,5d528f1354f2104624aca7a5542d2d9f715f387476c0cf0b9f1bb87212a7667c,initial_scene.png,67019a1f1666ad308f08c52c94cdf9e7e4803aed1f097752ec684bd2f3d2e1c9,Balance_2_upward,Balance_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",021,Balance,2,upward
023,cd8f626839a7238bb17197d8e4d265c3013ec7ad7aede6a1a1f49156ba3d4f07,initial_scene.png,a4a01b557b807af19bccce926e99ee0fdab04e1f2a5416b98b42c7ee103a9651,Balance_3_downward,Balance_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",024,Balance,3,downward
024,cd8f626839a7238bb17197d8e4d265c3013ec7ad7aede6a1a1f49156ba3d4f07,initial_scene.png,a4a01b557b807af19bccce926e99ee0fdab04e1f2a5416b98b42c7ee103a9651,Balance_3_upward,Balance_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",023,Balance,3,upward
025,2b0440f9df688b4b24144015b8bb1a5fd00f90abfbbf2167a3fd5131629db05e,initial_scene.png,b260f0379a46a62728b2cbfd5a59f2d2ab07c0cfca1ce1747e25252c704b2a4a,Balance_4_downward,Balance_4,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",026,Balance,4,downward
026,2b0440f9df688b4b24144015b8bb1a5fd00f90abfbbf2167a3fd5131629db05e,initial_scene.png,b260f0379a46a62728b2cbfd5a59f2d2ab07c0cfca1ce1747e25252c704b2a4a,Balance_4_upward,Balance_4,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",025,Balance,4,upward
027,2dd0aa419b6792d92f658e74820f449025b07393a024f00e7d93d1da9021d7eb,initial_scene.png,7c4ff2d004f5ce4632fc7e94403c6859480dd7b3e03034f734f20e27c84aa4f6,Balance_5_downward,Balance_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",028,Balance,5,downward
