participant_code,pair_condition,unordered_pair_index,human_unordered_pair_id,condition,position,family,env_id,variant,solved,attempts,first_attempt_success,first_attempt_x,first_attempt_y,success_attempt,success_x,success_y
H-4A049DD4,reflected,4,reflected_unordered_04,downward,1,Balance,4,reflect_y,True,1,True,299.0,548.0,1,299.0,548.0
H-4A049DD4,reflected,4,reflected_unordered_04,downward,2,Balance,4,original,True,5,False,311.0,543.0,5,420.0,560.0
H-7AF068E6,different_family,14,different_family_unordered_14,downward,1,Remove,5,original,True,1,True,363.0,386.0,1,363.0,386.0
H-7AF068E6,different_family,14,different_family_unordered_14,downward,2,BalanceUnder,8,original,True,2,False,266.0,269.0,2,150.0,269.0
H-31D711A8,reflected,18,reflected_unordered_18,downward,1,Prevention,8,reflect_y,True,6,False,455.0,385.0,6,42.0,360.0
H-31D711A8,reflected,18,reflected_unordered_18,downward,2,Prevention,8,original,True,3,False,527.0,366.0,3,556.0,347.0
H-65FB2EAF,same_family,13,same_family_unordered_13,upward,1,Falling,6,original,True,2,False,155.0,222.0,2,355.0,152.0
H-65FB2EAF,same_family,13,same_family_unordered_13,upward,2,Falling,2,original,True,2,False,237.0,139.0,2,258.0,124.0
H-12351907,reflected,4,reflected_unordered_04,downward,1,Balance,4,original,True,4,False,329.0,421.0,4,424.0,458.0
H-12351907,reflected,4,reflected_unordered_04,downward,2,Balance,4,reflect_y,True,2,False,194.0,424.0,2,179.0,422.0
H-790ECF8F,different_family,20,different_family_unordered_20,downward,1,BalanceUnder,10,original,True,5,False,512.0,417.0,5,268.0,318.0
H-790ECF8F,different_family,20,different_family_unordered_20,downward,2,Remove,7,original,True,1,True,262.0,543.0,1,262.0,543.0
H-46642377,same_family,13,same_family_unordered_13,upward,1,Falling,2,original,True,3,False,371.0,554.0,3,231.0,137.0
H-46642377,same_family,13,same_family_unordered_13,upward,2,Falling,6,original,True,1,True,367.0,107.0,1,367.0,107.0
H-FB98700F,different_family,7,different_family_unordered_07,upward,1,BackUp,8,original,False,10,False,461.0,213.0,,,
H-FB98700F,different_family,7,different_family_unordered_07,upward,2,Basic,9,original,True,8,False,364.0,364.0,8,395.0,549.0
H-97718DD2,reflected,19,reflected_unordered_19,upward,1,Remove,6,original,True,1,True,199.0,125.0,1,199.0,125.0
H-97718DD2,reflected,19,reflected_unordered_19,upward,2,Remove,6,reflect_y,False,10,False,393.0,110.0,,,
H-CE2E4932,same_family,11,same_family_unordered_11,upward,1,Falling,7,original,True,4,False,322.0,433.0,4,234.0,108.0
H-CE2E4932,same_family,11,same_family_unordered_11,upward,2,Falling,8,original,True,2,False,55.0,115.0,2,85.0,113.0
H-E277C958,same_family,16,same_family_unordered_16,downward,1,FallingAlt,9,original,True,1,True,126.0,426.0,1,126.0,426.0
H-E277C958,same_family,16,same_family_unordered_16,downward,2,FallingAlt,6,original,True,3,False,271.0,538.0,3,153.0,561.0
H-51F0452C,reflected,9,reflected_unordered_09,upward,1,Basic,1,original,False,10,False,253.0,75.0,,,
H-51F0452C,reflected,9,reflected_unordered_09,upward,2,Basic,1,reflect_y,True,4,False,561.0,276.0,4,562.0,392.0
H-DB00DDF5,same_family,19,same_family_unordered_19,upward,1,Remove,5,original,False,10,False,351.0,376.0,,,
