model_key,arm,reference,gravity,matched_units,base_layouts,mean_arm_minus_retry_preterminal_action_quality,ci95_low,ci95_high,eligibility
gemini31pro,full,neither,all,54,41,0.018039069810977006,-0.07273564441488863,0.10551105331624883,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,full,neither,downward,33,33,-0.014714837710385288,-0.1433015814893767,0.10009592371071514,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,full,neither,upward,21,21,0.09037641357423616,-0.021299142995987546,0.2225883391846296,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,trace_status,neither,all,3,3,0.2838472775197892,-0.0382935930160061,0.891376850515566,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,trace_status,neither,downward,3,3,0.2838472775197892,-0.0382935930160061,0.891376850515566,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,all,66,46,0.03747482261916992,-0.04573153660736851,0.11865372561311016,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,downward,37,37,0.027145974343583328,-0.08649224568739439,0.1367083691084525,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,upward,29,29,0.0720720482622904,-0.03044162590064435,0.1733750228963908,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,trace_status,neither,all,1,1,0.0007811785647681944,0.0007811785647681944,0.0007811785647681944,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,trace_status,neither,downward,1,1,0.0007811785647681944,0.0007811785647681944,0.0007811785647681944,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,all,18,12,0.0950810583457072,-0.005537896207831433,0.21776047807732293,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,downward,10,10,0.11929891636414838,-0.009574982606908037,0.2844672414196824,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,upward,8,8,0.04464266263528986,-0.15953261873221927,0.2516082736638441,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
