model_key,arm,reference,gravity,matched_units,base_layouts,mean_arm_minus_retry_preterminal_action_quality,ci95_low,ci95_high,eligibility
gemini31pro,full,neither,all,788,64,-0.036086705958225544,-0.08370968892805777,0.011930665058245348,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,full,neither,downward,528,63,-0.03218242184593548,-0.08460368244641081,0.02176673332478047,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,full,neither,upward,260,46,-0.04189629049541928,-0.0837619494467334,-0.000462194188506821,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,trace_status,neither,all,74,31,0.0035129673846363203,-0.08202870708625774,0.08768077350733586,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,trace_status,neither,downward,41,22,0.0736982973932412,-0.04752689155169271,0.205443278256266,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini31pro,trace_status,neither,upward,33,21,-0.06962925008478842,-0.16829237686229773,0.00881113450545342,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,all,827,65,0.0395431769062647,-0.010413680714693669,0.08488319858936731,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,downward,572,64,0.051053639627943036,-0.00233047623922832,0.1011795511151527,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,full,neither,upward,255,49,-0.006431618374853861,-0.07666873719126424,0.06377640294015406,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,trace_status,neither,all,4,4,0.4760307095401443,0.14061914322045443,0.7037497324489694,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gpt5,trace_status,neither,downward,4,4,0.4760307095401443,0.14061914322045443,0.7037497324489694,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,all,74,39,-0.07795286544000256,-0.14977089652249162,-0.009820134190137936,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,downward,59,34,-0.05486448249638798,-0.11087160094346282,0.002688830945476187,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,full,neither,upward,15,14,-0.11969648268176772,-0.3239535809351958,0.1020282364503003,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,trace_status,neither,all,2,2,-0.44723350909869325,-0.8042916511427574,-0.09017536705462914,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
qwen36plus,trace_status,neither,downward,2,2,-0.44723350909869325,-0.8042916511427574,-0.09017536705462914,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
