model_key,condition,gravity,completed_units,solve_by_8,mean_attempts_to_success_or_9
gemini31pro,full,all,1452,0.4559228650137741,5.87465564738292
gemini31pro,full,downward,935,0.4128342245989305,6.25668449197861
gemini31pro,full,upward,517,0.5338491295938105,5.183752417794971
gemini31pro,neither,all,1452,0.424931129476584,6.041322314049586
gemini31pro,neither,downward,935,0.37967914438502676,6.433155080213904
gemini31pro,neither,upward,517,0.5067698259187621,5.332688588007737
gemini31pro,status_only,all,125,0.824,3.0
gemini31pro,status_only,downward,66,0.8484848484848485,3.0
gemini31pro,status_only,upward,59,0.7966101694915254,3.0
gemini31pro,trace_status,all,1452,0.4772727272727273,5.7300275482093666
gemini31pro,trace_status,downward,935,0.453475935828877,5.963636363636364
gemini31pro,trace_status,upward,517,0.5203094777562862,5.307543520309478
gpt5,full,all,1361,0.4041146216017634,6.376193975018369
gpt5,full,downward,882,0.3888888888888889,6.536281179138322
gpt5,full,upward,479,0.4321503131524008,6.081419624217119
gpt5,neither,all,1361,0.35488611315209406,6.7060984570169
gpt5,neither,downward,882,0.3424036281179138,6.825396825396825
gpt5,neither,upward,479,0.3778705636743215,6.48643006263048
gpt5,status_only,all,125,0.744,3.944
gpt5,status_only,downward,66,0.8333333333333334,3.696969696969697
gpt5,status_only,upward,59,0.6440677966101694,4.220338983050848
gpt5,trace_status,all,1361,0.440852314474651,6.152094048493755
gpt5,trace_status,downward,882,0.42630385487528344,6.339002267573696
gpt5,trace_status,upward,479,0.46764091858037576,5.807933194154488
qwen36plus,full,all,175,0.6285714285714286,4.942857142857143
qwen36plus,full,downward,120,0.625,5.133333333333334
qwen36plus,full,upward,55,0.6363636363636364,4.527272727272727
qwen36plus,neither,all,175,0.5828571428571429,5.091428571428572
qwen36plus,neither,downward,120,0.525,5.5
qwen36plus,neither,upward,55,0.7090909090909091,4.2
qwen36plus,status_only,all,82,0.8170731707317073,3.182926829268293
qwen36plus,status_only,downward,50,0.76,3.72
qwen36plus,status_only,upward,32,0.90625,2.34375
qwen36plus,trace_status,all,175,0.46285714285714286,5.8742857142857146
qwen36plus,trace_status,downward,120,0.48333333333333334,5.908333333333333
qwen36plus,trace_status,upward,55,0.41818181818181815,5.8
