call_id,layout_id,model_key,model_id,target_id,target_label,valid_prediction,true_x,true_y,pred_x,pred_y,absolute_x_error_px,absolute_y_error_px,euclidean_error_px,y_flipped_euclidean_error_px,within_60px,within_100px,within_150px,x_half_scored,x_half_correct,y_half_scored,y_half_correct,combined_halves_scored,combined_halves_correct
BackUp_6:gemini:image_coordinates_v2,BackUp_6,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,83.99999999999999,300.0,84.0,300.0,1.4210854715202004e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1,1,1,1,1,0,0,0,0
BackUp_6:gemini:image_coordinates_v2,BackUp_6,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,220.0,555.0,220.0,555.0,0.0,0.0,0.0,510.0,1,1,1,1,1,1,1,1,1
BackUp_4:gemini:image_coordinates_v2,BackUp_4,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,466.5,28.0,465.0,27.0,1.5,1.0,1.8027756377319946,545.0020642162743,1,1,1,1,1,1,1,1,1
BackUp_4:gemini:image_coordinates_v2,BackUp_4,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,270.0,200.0,270.0,200.0,0.0,0.0,0.0,200.0,1,1,1,0,0,1,1,0,0
BackUp_2:gemini:image_coordinates_v2,BackUp_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,546.0000000000002,42.7500000000033,550.0,40.0,3.9999999999997726,2.750000000003297,4.85412195973858,517.2654661776645,1,1,1,1,1,1,1,1,1
BackUp_2:gemini:image_coordinates_v2,BackUp_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,240.0,415.0,240.0,415.0,0.0,0.0,0.0,230.0,1,1,1,0,0,1,1,0,0
BackUp_3:gemini:image_coordinates_v2,BackUp_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,301.5,27.5,300.0,27.0,1.5,0.5,1.5811388300841898,545.5020623242409,1,1,1,0,0,1,1,0,0
BackUp_3:gemini:image_coordinates_v2,BackUp_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,270.0,520.0,270.0,520.0,0.0,0.0,0.0,440.0,1,1,1,0,0,1,1,0,0
BackUp_5:gemini:image_coordinates_v2,BackUp_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,446.00000000000017,53.00000000000023,448.0,50.0,1.9999999999998295,3.0000000000002274,3.6055512754640837,497.0040241285776,1,1,1,1,1,1,1,1,1
BackUp_5:gemini:image_coordinates_v2,BackUp_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,220.0,544.0,220.0,545.0,0.0,1.0,1.0,489.0,1,1,1,1,1,1,1,1,1
